Time,bus,car
2021-11-01 13:36:00,0,1
2021-11-01 13:38:00,1,1
2021-11-01 13:39:00,6,1
2021-11-01 13:39:00,1,2
2021-11-01 13:46:00,4,6
2021-11-01 13:48:00,2,9
